data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
25/08/2022,Tarde,6085,1493,9554,4474,9747,1827,7994,8345,5285,7114
25/08/2022,Manhã,0984,4939,4710,4349,8556,9709,0546,5673,6697,6462
24/08/2022,Noite,9986,7727,4951,5840,0666,4937,0940,9397,5968,2779
24/08/2022,Tarde,4665,1847,4065,7935,5162,5146,5505,0000,3575,0437
24/08/2022,Manhã,1228,9404,9369,8450,0926,3077,5603,1485,2865,4450
23/08/2022,Noite,7155,0485,5996,4414,6381,6936,2854,8910,3590,2369
23/08/2022,Tarde,1005,7646,1467,8984,7049,8746,7480,7672,2574,8518
23/08/2022,Manhã,6659,3529,8382,1448,3751,2245,1942,1445,5778,7304
22/08/2022,Noite,9357,5287,8561,6981,7163,9855,6774,4924,0111,5685
22/08/2022,Tarde,1874,0471,9156,5113,6982,1776,6514,6094,0503,8228
22/08/2022,Manhã,3340,4893,8468,4300,2755,7883,0661,6717,3317,0186
20/08/2022,Noite,2443,0884,8601,2395,8933,5707,8277,7036,0141,1542
20/08/2022,Tarde,5681,5139,2814,8350,9709,0410,5334,1006,3707,3819
20/08/2022,Manhã,9853,1443,0203,5730,7141,0107,1139,2330,8728,6404
19/08/2022,Noite,5758,6987,5765,7452,1310,4359,3211,7025,9320,1290
19/08/2022,Tarde,2884,8005,2355,0201,6077,2341,7118,8929,1811,1697
19/08/2022,Manhã,3244,4247,6846,4337,8651,2470,0204,6439,3744,6375
18/08/2022,Noite,3377,0236,6802,5496,0827,2253,6278,8431,7078,4377
18/08/2022,Tarde,7709,8068,0014,4923,6138,0657,6188,9056,5200,9665
18/08/2022,Manhã,1041,9568,2464,8038,2762,0576,6403,4181,7371,8979
17/08/2022,Noite,7303,0391,8084,8076,4999,9360,5506,2741,5158,9673
17/08/2022,Noite,7303,0391,8084,8076,4999,9360,5506,2741,5158,9673
17/08/2022,Tarde,5877,9152,5797,2282,2314,1021,0740,9885,9650,8900
17/08/2022,Manhã,7312,5325,7292,7224,8125,0032,5620,4424,9848,6322
16/08/2022,Noite,0939,7329,9231,8593,0845,3061,4897,6147,0139,8783
16/08/2022,Tarde,8964,7404,5522,6790,8127,5167,3178,1595,8850,2594
16/08/2022,Manhã,4593,2439,6345,0060,8215,3464,6075,9244,5126,6496
15/08/2022,Noite,3283,2734,3707,9348,9729,3213,9648,9874,3190,7738
15/08/2022,Tarde,2806,7429,5662,8586,3367,3629,1586,6895,1542,9619
15/08/2022,Manhã,1588,5974,9229,6631,1808,5451,9396,5360,4668,6354
13/08/2022,Noite,0836,4355,7979,1390,4837,5930,8575,1895,4770,8074
13/08/2022,Tarde,2344,0555,4313,9297,5096,9083,1105,9696,7333,6879
13/08/2022,Manhã,7059,4973,9777,9090,6670,5773,5721,1084,5929,1525
12/08/2022,Noite,7987,7961,7563,3195,2309,6780,1558,0273,0991,9157
12/08/2022,Tarde,0447,9096,4751,4108,6803,4755,7588,1525,1676,4659
12/08/2022,Manhã,7102,1130,0153,8521,2557,4971,1995,4794,0716,1651
11/08/2022,Noite,1676,4444,5367,2349,8569,0139,2559,7185,2986,1943
11/08/2022,Tarde,6297,1757,1600,2187,2370,0958,1537,4942,5833,6794
11/08/2022,Manhã,3584,7596,5544,9416,3555,2434,8599,4508,4209,0491
10/08/2022,Noite,0142,3241,8347,7698,5464,9368,9644,4646,3921,5949
10/08/2022,Tarde,5553,7219,0057,6658,8651,8209,4177,8010,1780,4256
10/08/2022,Manhã,1206,9622,0120,7619,6141,4668,9569,8583,1211,6406
09/08/2022,Noite,8259,6849,9677,3502,8869,9530,6610,3284,8090,7622
09/08/2022,Tarde,2455,4966,8463,2383,3895,6570,1577,0429,6567,1751
09/08/2022,Manhã,0084,0433,4581,1217,1850,3565,0862,0690,0658,1069
08/08/2022,Noite,6937,4640,7520,5523,8390,0108,1940,3303,4722,5274
